epoch,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,mAP
31,1.0,-1.0,-1.0,-1.0,0.10000000149011612,0.20000000298023224,0.624639093875885,-1.0,0.9930034875869751,-1.0,-1.0,-1.0,-1.0,0.09090909361839294,-1.0,0.9701927900314331,-1.0,1.0,-1.0,-1.0,62.23430633544922
32,1.0,-1.0,-1.0,-1.0,0.09090909361839294,0.10476190596818924,0.599000871181488,-1.0,0.9902136325836182,-1.0,-1.0,-1.0,-1.0,0.125,-1.0,0.9643834233283997,-1.0,1.0,-1.0,-1.0,60.92836380004883
33,1.0,-1.0,-1.0,-1.0,0.1428571492433548,0.16500000655651093,0.6115904450416565,-1.0,0.9902514815330505,-1.0,-1.0,-1.0,-1.0,0.10000000149011612,-1.0,0.9779373407363892,-1.0,0.5,-1.0,-1.0,56.095458984375
34,1.0,-1.0,-1.0,-1.0,1.0,0.0982142835855484,0.6444566249847412,-1.0,0.9942349791526794,-1.0,-1.0,-1.0,-1.0,0.25,-1.0,0.9514231085777283,-1.0,0.5,-1.0,-1.0,67.97911834716797
35,1.0,-1.0,-1.0,-1.0,0.1428571492433548,0.6111111044883728,0.6675925850868225,-1.0,0.988703191280365,-1.0,-1.0,-1.0,-1.0,0.043478261679410934,-1.0,0.9330832958221436,-1.0,1.0,-1.0,-1.0,67.33531951904297
36,1.0,-1.0,-1.0,-1.0,1.0,0.3125,0.7112047076225281,-1.0,0.992865264415741,-1.0,-1.0,-1.0,-1.0,0.3333333432674408,-1.0,0.9640328288078308,-1.0,1.0,-1.0,-1.0,78.92420196533203
37,0.5,-1.0,-1.0,-1.0,1.0,0.4166666567325592,0.7082417607307434,-1.0,0.9970961809158325,-1.0,-1.0,-1.0,-1.0,0.0555555559694767,-1.0,0.9448590874671936,-1.0,1.0,-1.0,-1.0,70.28024291992188
38,1.0,-1.0,-1.0,-1.0,1.0,0.28703704476356506,0.7935744524002075,-1.0,0.9920228123664856,-1.0,-1.0,-1.0,-1.0,0.0625,-1.0,0.9603423476219177,-1.0,1.0,-1.0,-1.0,76.19346618652344
39,1.0,-1.0,-1.0,-1.0,0.1111111119389534,0.5,0.6456315517425537,-1.0,0.9907509088516235,-1.0,-1.0,-1.0,-1.0,0.0555555559694767,-1.0,0.9459453225135803,-1.0,1.0,-1.0,-1.0,65.61243438720703
40,1.0,-1.0,-1.0,-1.0,0.1111111119389534,0.5454545617103577,0.5399234890937805,-1.0,0.992865264415741,-1.0,-1.0,-1.0,-1.0,0.03703703731298447,-1.0,0.9756830930709839,-1.0,1.0,-1.0,-1.0,65.02593231201172
41,1.0,-1.0,-1.0,-1.0,0.5,0.5476190447807312,0.6798300743103027,-1.0,0.9945419430732727,-1.0,-1.0,-1.0,-1.0,0.07692307978868484,-1.0,0.976334273815155,-1.0,0.25,-1.0,-1.0,62.81560516357422
42,1.0,-1.0,-1.0,-1.0,0.25,0.5476190447807312,0.5848817229270935,-1.0,0.9588686227798462,-1.0,-1.0,-1.0,-1.0,0.3333333432674408,-1.0,0.9800648093223572,-1.0,1.0,-1.0,-1.0,70.6845932006836
43,1.0,-1.0,-1.0,-1.0,0.5,0.16346153616905212,0.655551552772522,-1.0,0.9970961809158325,-1.0,-1.0,-1.0,-1.0,0.03448275849223137,-1.0,0.9687727093696594,-1.0,1.0,-1.0,-1.0,66.49205780029297
44,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.7990592122077942,-1.0,0.9880282878875732,-1.0,-1.0,-1.0,-1.0,0.0714285746216774,-1.0,0.970812976360321,-1.0,1.0,-1.0,-1.0,85.36661529541016
45,1.0,-1.0,-1.0,-1.0,0.125,0.2023809552192688,0.4388241469860077,-1.0,0.9930034875869751,-1.0,-1.0,-1.0,-1.0,0.0357142873108387,-1.0,0.9815167188644409,-1.0,1.0,-1.0,-1.0,59.70549774169922
46,1.0,-1.0,-1.0,-1.0,1.0,0.6428571343421936,0.654321014881134,-1.0,0.9942349791526794,-1.0,-1.0,-1.0,-1.0,0.1111111119389534,-1.0,0.970011293888092,-1.0,1.0,-1.0,-1.0,79.65669250488281
47,1.0,-1.0,-1.0,-1.0,0.1111111119389534,0.5384615659713745,0.5291925668716431,-1.0,0.9885792136192322,-1.0,-1.0,-1.0,-1.0,0.0476190485060215,-1.0,0.9808318018913269,-1.0,1.0,-1.0,-1.0,64.94744110107422
48,1.0,-1.0,-1.0,-1.0,0.3333333432674408,0.13703703880310059,0.642751932144165,-1.0,0.9942349791526794,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,0.9412088990211487,-1.0,0.3333333432674408,-1.0,-1.0,61.02374649047852
49,1.0,-1.0,-1.0,-1.0,1.0,0.5400000214576721,0.6929218769073486,-1.0,0.9856669306755066,-1.0,-1.0,-1.0,-1.0,0.10000000149011612,-1.0,0.9650683403015137,-1.0,1.0,-1.0,-1.0,78.54571533203125
